idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0001623116,"LIDIER JAVIER VIDAL COBO, JHON ALEXANDER GUERRERO NARVAEZ",INNOVACIÓN GENERADA EN LA GESTIÓN EMPRESARIAL EN EL DESARROLLO DEL PLAN DE GESTIÓN DE MANTENIMIENTO DE MAQUINARIA Y EQUIPOS EN SUPER E & CIA S.A.S,Producción técnica - Innovaciones generadas de producción empresarial - Empresarial,True,,,Colombia,2020,"Predictivo, EN13269, Mantenimiento, NTC 2050, NTC ISO 9001:2015, Preventivo, Plan de mantenimiento, RETIE","Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías, Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Ingeniería Industrial",Otros sectores - Otro
0001623116,"JOHANA PATRICIA ASTUDILLO GUTIERREZ, JHON ALEXANDER GUERRERO NARVAEZ",INNOVACIÓN GENERADA EN LA GESTIÓN EMPRESARIAL EN DISEÑO E IMPLEMENTACIÓN DEL PLAN DE MANEJO Y MITIGACIÓN DE RUIDO - PMMR Y EL PLAN DE MANEJO Y MITIGACIÓN DE MATERIAL PARTICULADO - PMMMP DEL PROCESO PRODUCTIVO DESARROLLADO POR EMPAQUES DEL CAUCA S.A,Producción técnica - Innovaciones generadas de producción empresarial - Empresarial,True,,,Colombia,2019,"Buenas prácticas de ingeniería, Desarrollo sostenible, Emisión Atmosférica, Plan de gestión ambiental, Ruido","Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías, Ingeniería y Tecnología -- Ingeniería Ambiental -- Ingeniería Ambiental y Geológica, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Automatización y Sistemas de Control","Fabricación de productos textiles, celulosa, papel y productos de papel - Fabricación de productos textiles, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0001623116,"JHON ALEXANDER GUERRERO NARVAEZ, JOHANA PATRICIA ASTUDILLO GUTIERREZ, INNOVACIÓN GENERADA EN LA GESTIÓN EMPRESARIAL EN LA PLANIFICACIÓN",CONTROL Y SUPERVISIÓN DEL AHORRO Y USO EFICIENTE DE ENERGÍA ELÉCTRICA EN EL PROCESO PRODUCTIVO DE SACOS DE FIQUE,Producción técnica - Innovaciones generadas de producción empresarial - Empresarial,True,,,Colombia,2019,"Ley 697 - 2001, Flujo de proceso, Ahorro de energía, ISO 50001, ISO 50002, Plan de gestión ambiental, Procesos productivos, Uso eficiente de energía","Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías, Ingeniería y Tecnología -- Ingeniería Ambiental -- Ingeniería Ambiental y Geológica, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Automatización y Sistemas de Control","Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible., Fabricación de productos textiles, celulosa, papel y productos de papel - Fabricación de productos textiles"
0001677408,"JOHANA PATRICIA ASTUDILLO GUTIERREZ, JHON ALEXANDER GUERRERO NARVAEZ, INNOVACIÓN GENERADA EN LA GESTIÓN EMPRESARIAL EN LA PLANIFICACIÓN",CONTROL Y SUPERVISIÓN DEL AHORRO Y USO EFICIENTE DE ENERGÍA ELÉCTRICA EN EL PROCESO PRODUCTIVO DE SACOS DE FIQUE,Producción técnica - Innovaciones generadas de producción empresarial - Empresarial,True,,,Colombia,2019,"Uso eficiente de energía, Ahorro de energía, Energía , Flujo de proceso, Ingeniería Ambiental, ISO 50002, Ley 697 - 2001, ISO 50001, Plan de Manejo Ambiental","Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías, Ingeniería y Tecnología -- Ingeniería Ambiental -- Ingeniería Ambiental y Geológica, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Automatización y Sistemas de Control","Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible., Fabricación de productos textiles, celulosa, papel y productos de papel - Fabricación de productos textiles"
0001677408,"JOHANA PATRICIA ASTUDILLO GUTIERREZ, JHON ALEXANDER GUERRERO NARVAEZ",INNOVACIÓN GENERADA EN LA GESTIÓN EMPRESARIAL EN DISEÑO E IMPLEMENTACIÓN DEL PLAN DE MANEJO Y MITIGACIÓN DE RUIDO - PMMR Y EL PLAN DE MANEJO Y MITIGACIÓN DE MATERIAL PARTICULADO- PMMMP DEL PROCESO PRODUCTIVO DESARROLLADO POR EMPAQUES DEL CAUCA S.A,Producción técnica - Innovaciones generadas de producción empresarial - Empresarial,True,,,Colombia,2019,"Buena Práctica de Ingeniería, Desarrollo Sostenible, Emisión atmosférica, Ruido, Plan de Manejo Ambiental, Material Particulado -PM","Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías, Ingeniería y Tecnología -- Ingeniería Ambiental -- Ingeniería Ambiental y Geológica, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Automatización y Sistemas de Control","Fabricación de productos textiles, celulosa, papel y productos de papel - Fabricación de productos textiles, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000443611,"YULIANA VANESA PUERTA CRUZ, JUAN CONTRERAS MONTES, MARIA CLAUDIA BONFANTE RODRIGUEZ, JOAQUIN SEGUNDO SILVA ROMERO, JAIRO ACOSTA SOLANO",SISTEMA DE INFORMACION GEOGRAFICA PARA LA VIGILANCIA EPIDEMIOLOGICA DE CARTAGENA (SIVIEP MAP 1.0),Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,False,,,Colombia,2016,"Vigilancia Epidemiologica, Aplicaciones Moviles","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones","Desarrollo de programas (software) y prestación de servicios en informática - Consultoría en sistemas de informática, Desarrollo de programas (software) y prestación de servicios en informática - Desarrollo de programas (software), Desarrollo de programas (software) y prestación de servicios en informática - Otras actividades de prestación de servicios en informática"
0000215899,LUIS FERNANDO MOLINEROS GALLON,"Estrategia Integrada ""Yo te Cuido y Tu Me Cuidas"" (EIYCTC)",Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,True,,,Colombia,2020,"App, Estrategia Integrada, Covid 19","Ciencias Médicas y de la Salud -- Ciencias de la Salud -- Ciencias del Cuidado de la Salud y Servicios (Administración de Hospitales, Financiamiento)","Productos y servicios de recreación,culturales, artísticos y deportivos"
0000215899,LUIS FERNANDO MOLINEROS GALLON,Estrategia Yo me Cuido Tu Te Cuedas en el Municipio de Túquerres,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,True,,,Colombia,2020,Hoja de Ruta; Covid 19; Tuquerres,,
0000215899,LUIS FERNANDO MOLINEROS GALLON,Creación e Implementación del Centro de Investigaciones Clínicas de la Fundación Hospital San Pedro,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,True,,,Colombia,2017,"Centro de Investigaciones Clínicas, Plataforma de Ciencia y Tecnología",Ciencias Médicas y de la Salud -- Ciencias de la Salud -- Políticas de Salud y Servicios,Salud humana - Desarrollo de productos tecnológicos para la salud humana
0000435724,"DIDIER RUBEN CORDOBA LOZADA, WILFRED FABIAN RIVERA MARTINEZ, Mejoramiento en la calidad y consistencia de los cafés de especialidad a través de procesos de innovación en las etapas de cultivo, beneficio y comercialización que desarrolla la Federación Campesina del Cauca FCC",en la zona centro del departamento del Cauca - Junio 15 de 2022 a octubre 15 de 2022,Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,False,,,Colombia,2022,Innovación Empresarial,,
0000742520,JESUS EDUARDO BRAVO GOMEZ,desarrollo de snacks con probióticos,Producción técnica - Innovaciones generadas de producción empresarial - Empresarial,False,,,Colombia,2021,"COMERCIALIZACION, DISEÑO, DECRETO 3075","Ingeniería y Tecnología -- Biotecnología Industrial -- Biotecnología Industrial, Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Alimentos y Bebidas",Productos y procesos biotecnológicos - Productos y procesos biotecnológicos vinculados a la salud humana o de los animales
0001233416,PABLO VEGA VASQUEZ,Nano y micro emulsiones que comprenden aceites esenciales o fijos y tensioactivo no ionico GRAS (generalmente reconocido como seguro),Producción técnica - Innovaciones generadas de producción empresarial - Organizacional,False,,,Colombia,2014,,,
