idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000394718,"IVAN DARIO LOPEZ GOMEZ, ALBERTO NARANJO CARVAJAL, JUAN FERNANDO CAMPUZANO VALLEJO",Autoparte Guarnecido de Cofre H79: Pieza y su molde,Producción técnica - Productos tecnológicos - Otro,False,,,Colombia,2015,"Autoparte, Inyección de termoplásticos",Ingeniería y Tecnología -- Ingeniería Mecánica -- Ingeniería Mecánica,Fabricación de productos químicos - Fabricación de productos de goma y plásticos
0000394718,IVAN DARIO LOPEZ GOMEZ,Autoparte Absorbedor de choque delantero: Pieza y su molde,Producción técnica - Productos tecnológicos - Otro,False,Absorbedor de choque delantero,,Colombia,2015,,,
0000394718,"IVAN DARIO LOPEZ GOMEZ, ALBERTO NARANJO CARVAJAL, JUAN CARLOS ORTIZ PIMIENTA, DIANA MARIA ANGEL MONTOYA",Dosificador para dispensar sustancias en líquidos,Producción técnica - Productos tecnológicos - Otro,False,,,Colombia,2015,"Dosificador, Liberación prolongada, Sustancias en líquidos",Ciencias Médicas y de la Salud -- Ciencias de la Salud -- Salud Pública,Fabricación de productos químicos - Otro
0000394718,"IVAN DARIO LOPEZ GOMEZ, ALBERTO NARANJO CARVAJAL, JUAN FERNANDO CAMPUZANO VALLEJO",Autoparte absorbedor de choque delantero y trasero: Pieza y su molde,Producción técnica - Productos tecnológicos - Otro,False,,,Colombia,2015,Autoparte,Ingeniería y Tecnología -- Ingeniería Mecánica -- Ingeniería Mecánica,Fabricación de productos químicos - Fabricación de productos de goma y plásticos
0000394718,IVAN DARIO LOPEZ GOMEZ,Autoparte Absorbedor de choque trasero: Pieza y su molde,Producción técnica - Productos tecnológicos - Otro,False,Absorbedor de choque trasero,,Colombia,2015,,,
0000394718,"IVAN DARIO LOPEZ GOMEZ, ALBERTO NARANJO CARVAJAL, SERGIO ANDRES SUAREZ VELEZ, ALBERTO NARANJO CARVAJAL",Autoparte Refuerzo de gaveta: pieza y su molde,Producción técnica - Productos tecnológicos - Otro,False,Refuerzo de gaveta para H79,,Colombia,2013,"Autoparte, Diseño de moldes, Diseño de piezas",Ingeniería y Tecnología -- Ingeniería Mecánica -- Ingeniería Mecánica,"Fabricación de productos químicos - Fabricación de productos de goma y plásticos, Fabricación y montaje de vehículos automotores - Fabricación y montaje de autos, camiones, ómnibus y tractores y demás máquinas e implementos agrícolas, remolques y carrocerías"
0000394718,"IVAN DARIO LOPEZ GOMEZ, ALBERTO NARANJO CARVAJAL, SERGIO ANDRES SUAREZ VELEZ, ALBERTO NARANJO CARVAJAL",Autoparte Brazo de gaveta: pieza y su molde,Producción técnica - Productos tecnológicos - Otro,False,Brazo de gaveta para H79,,Colombia,2013,,Ingeniería y Tecnología -- Ingeniería Mecánica -- Ingeniería Mecánica,"Fabricación de productos químicos - Fabricación de productos de goma y plásticos, Fabricación y montaje de vehículos automotores - Fabricación y montaje de autos, camiones, ómnibus y tractores y demás máquinas e implementos agrícolas, remolques y carrocerías"
0000394718,"IVAN DARIO LOPEZ GOMEZ, ALBERTO NARANJO CARVAJAL, SERGIO ANDRES SUAREZ VELEZ, ALBERTO NARANJO CARVAJAL",Autoparte Manija de gaveta: pieza y su molde,Producción técnica - Productos tecnológicos - Otro,False,Manija de gaveta para H79,,Colombia,2013,,Ingeniería y Tecnología -- Ingeniería Mecánica -- Ingeniería Mecánica,"Fabricación de productos químicos - Fabricación de productos de goma y plásticos, Fabricación y montaje de vehículos automotores - Fabricación y montaje de autos, camiones, ómnibus y tractores y demás máquinas e implementos agrícolas, remolques y carrocerías"
0000394718,"IVAN DARIO LOPEZ GOMEZ, ALBERTO NARANJO CARVAJAL, SERGIO ANDRES SUAREZ VELEZ, ALBERTO NARANJO CARVAJAL",Autoparte Cubierta de gaveta: pieza y su molde,Producción técnica - Productos tecnológicos - Otro,False,Cubierta de gaveta para H79,,Colombia,2013,"Autoparte, Diseño de moldes, Diseño de piezas",Ingeniería y Tecnología -- Ingeniería Mecánica -- Ingeniería Mecánica,"Fabricación de productos químicos - Fabricación de productos de goma y plásticos, Fabricación y montaje de vehículos automotores - Fabricación y montaje de autos, camiones, ómnibus y tractores y demás máquinas e implementos agrícolas, remolques y carrocerías"
0000394718,"IVAN DARIO LOPEZ GOMEZ, ALBERTO NARANJO CARVAJAL, SERGIO ANDRES SUAREZ VELEZ, ALBERTO NARANJO CARVAJAL",Autoparte Gancho de gaveta: pieza y su molde,Producción técnica - Productos tecnológicos - Otro,False,Gancho de gaveta para H79,,Colombia,2013,"Autoparte, Diseño de moldes, Diseño de piezas",Ingeniería y Tecnología -- Ingeniería Mecánica -- Ingeniería Mecánica,"Fabricación de productos químicos - Fabricación de productos de goma y plásticos, Fabricación y montaje de vehículos automotores - Fabricación y montaje de autos, camiones, ómnibus y tractores y demás máquinas e implementos agrícolas, remolques y carrocerías"
0000394718,"IVAN DARIO LOPEZ GOMEZ, ALBERTO NARANJO CARVAJAL, ALBERTO NARANJO CARVAJAL",Tapa roscada. Pieza y molde rediseñados,Producción técnica - Productos tecnológicos - Otro,False,Tapa roscada,,Colombia,2014,"Diseño de moldes, Diseño de piezas",Ingeniería y Tecnología -- Ingeniería Mecánica -- Ingeniería Mecánica,Fabricación de productos químicos - Fabricación de productos de goma y plásticos
